SEX_A,locality_A,yearbirth_A,monthbirth_A,daybirth_A,Name_A,bident_A,aident_A,ID_A,Name1_A,Name2_A,shortName1_A,join_col_x,SEX_B,locality_B,yearbirth_B,monthbirth_B,daybirth_B,Name_B,namepert_B,yearbirthpert_B,monthbirthpert_B,daybirthpert_B,sexpert_B,aident_B,bident_B,ID_B,Name1pert_B,Name2pert_B,shortName1pert_B,join_col_y,_merge,Score2,Match_Status,Predicted_Match,score_with_SLD
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,1,0,0,1.0
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,1.9999999999999998
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,1.4285714285714284
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.0
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,1.0
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,3.0
1.0,70.0,1946.0,1.0,,TERRY,E346,,1907224,TERRY,,TER,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,0,0,0,1.0
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,3,0,0,4.428571428571429
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,8,1,1,11.571428571428571
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,3,0,0,3.7142857142857144
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,1,0,0,1.0
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.0
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,1.0
1.0,70.0,1949.0,9.0,6.0,MATTHEW,E332,A2,1818785,MATTHEW,,MAT,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,0,0,0,1.0
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,1.4285714285714284
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,3,0,0,3.7142857142857144
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.0
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,8,1,1,12.285714285714286
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,4,0,0,6.142857142857143
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,1,0,0,3.1428571428571432
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.0
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,1.0
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1961.0,9.0,19.0,MICAELL,E342,A3,1894191,MICAELL,,MIC,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,0,0,0,1.0
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,1.25
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,1.0
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,4,0,0,4.714285714285714
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,8,1,1,11.75
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,1.4285714285714284
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,1,0,0,3.1428571428571432
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.0
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,1.0
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,2.25
1.0,70.0,1961.0,12.0,3.0,NEIL,E341,A4,1887808,NEIL,,NEI,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,0,0,0,1.0
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,1.4285714285714284
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,4.571428571428571
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,3,0,0,3.7142857142857144
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,3,0,0,3.0
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.0
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,1.0
1.0,70.0,1963.0,11.0,26.0,MATTHEW,E333,,1825535,MATTHEW,,MAT,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,2,0,0,3.0
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,0.7142857142857145
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,1.0
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.0
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,0.0
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,13,1,1,13.0
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1964.0,11.0,28.0,KORNELL,E331,A5,1816773,KORNELL,,KOR,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,2,0,0,3.7142857142857144
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,2,0,0,2.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,1.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,0,0,0,0.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,1.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,2.0,70.0,1963.0,6.0,4.0,SHIRLEY,SHILREY,1963.0,6.0,4.0,2.0,A334,E344,1904512.0,SHILREY,,SHI,0.0,both,0,0,0,0.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1964.0,11.0,28.0,KORNELL,KORNELL,1964.0,11.0,28.0,1.0,A5,E331,1816773.0,KORNELL,,KOR,0.0,both,1,0,0,1.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1970.0,7.0,23.0,JOE,SOF,1970.0,7.0,23.0,1.0,A6,E339,1878042.0,SOF,,SOF,0.0,both,1,0,0,1.0
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1972.0,7.0,1.0,JOHN,SOHN,1972.0,7.0,1.0,1.0,A7,E338,1867627.0,SOHN,,SOH,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1976.0,7.0,16.0,ERIC,ERIC,1976.0,7.0,16.0,1.0,A8,E345,1905463.0,ERIC,,ERI,0.0,both,1,0,0,2.4285714285714284
1.0,70.0,1967.0,8.0,27.0,RICHARD,E343,,1898234,RICHARD,,RIC,0,1.0,70.0,1978.0,11.0,10.0,ROSS,RDSS,1978.0,11.0,10.0,,A9,E340,1882068.0,RDSS,,RDS,0.0,both,0,0,0,1.7142857142857144
1.0,70.0,1970.0,7.0,23.0,JOE,E339,A6,1878042,JOE,,JOE,0,2.0,70.0,1949.0,8.0,1.0,AMIE,AMIE,1949.0,8.0,1.0,2.0,A332,E335,1835700.0,AMIE,,AMI,0.0,both,0,0,0,1.25
1.0,70.0,1970.0,7.0,23.0,JOE,E339,A6,1878042,JOE,,JOE,0,1.0,70.0,1949.0,9.0,6.0,MATTHEW,MATTMEN,1949.0,9.0,6.0,1.0,A2,E332,1818785.0,MATTMEN,,MAT,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1970.0,7.0,23.0,JOE,E339,A6,1878042,JOE,,JOE,0,2.0,70.0,1958.0,7.0,10.0,PAULINE,PAULINE,1958.0,7.0,10.0,2.0,A333,E334,1833156.0,PAULINE,,PAU,0.0,both,2,0,0,2.7142857142857144
1.0,70.0,1970.0,7.0,23.0,JOE,E339,A6,1878042,JOE,,JOE,0,1.0,70.0,1961.0,9.0,19.0,MICAELL,MICAELU,1961.0,9.0,19.0,1.0,A3,E342,1894191.0,MICAELU,,MIC,0.0,both,1,0,0,1.7142857142857144
1.0,70.0,1970.0,7.0,23.0,JOE,E339,A6,1878042,JOE,,JOE,0,1.0,70.0,1961.0,12.0,3.0,NEIL,MEIL,1961.0,12.0,3.0,1.0,A4,E341,1887808.0,MEIL,,MEI,0.0,both,1,0,0,1.0
