id_a,firstname_a,middlename_a,surname_a,sex_a,postcode_a,dob_a,first1_a,first2_a,middle1_a,middle2_a,sur1_a,sur2_a,title_a,shortfirst1_a,initfirst1_a,shortfirst2_a,initfirst2_a,shortmiddle1_a,initmiddle1_a,shortmiddle2_a,initmiddle2_a,shortsur1_a,initsur1_a,shortsur2_a,initsur2_a,initials_a,daybirth_a,monthbirth_a,yearbirth_a,pcarea_a,pcdistrict_a,age_a,id_b,firstname_b,middlename_b,surname_b,sex_b,postcode_b,dob_b,first1_b,first2_b,middle1_b,middle2_b,sur1_b,sur2_b,title_b,shortfirst1_b,initfirst1_b,shortfirst2_b,initfirst2_b,shortmiddle1_b,initmiddle1_b,shortmiddle2_b,initmiddle2_b,shortsur1_b,initsur1_b,shortsur2_b,initsur2_b,initials_b,daybirth_b,monthbirth_b,yearbirth_b,pcarea_b,pcdistrict_b,age_b,Match_Status,matched_on
BD111HA_31,HOLLIE,FLORENCE,,2,BD111HA,1987-03-06,HOLLIE,,FLORENCE,,,,,HOL,H,,,FLO,F,,,,,,,HF,6,3,1987,BD,BD11,39,BD111HA_31,HOLLIE,FLORENCE,,2,BD111HA,1987-03-06,HOLLIE,,FLORENCE,,,,,HOL,H,,,FLO,F,,,,,,,HF,6,3,1987,BD,BD11,39,1,EXACT
BD111HA_33,,GEORGE,BOOTH,1,BD111HA,1992-02-08,,,GEORGE,,BOOTH,,,,,,,GEO,G,,,BOO,B,,,GB,8,2,1992,BD,BD11,34,BD111HA_33,,GEORGE,BOOTH,1,BD111HA,1992-02-08,,,GEORGE,,BOOTH,,,,,,,GEO,G,,,BOO,B,,,GB,8,2,1992,BD,BD11,34,1,EXACT
BD111HA_39,,,COLLINS,2,BD111HA,1993-03-04,,,,,COLLINS,,,,,,,,,,,COL,C,,,C,4,3,1993,BD,BD11,33,BD111HA_39,,,COLLINS,2,BD111HA,1993-03-04,,,,,COLLINS,,,,,,,,,,,COL,C,,,C,4,3,1993,BD,BD11,33,1,EXACT
BD111HA_43,CHARLIE,,EVANS,1,BD111HA,1990-01-04,CHARLIE,,,,EVANS,,,CHA,C,,,,,,,EVA,E,,,CE,4,1,1990,BD,BD11,36,BD111HA_43,CHARLIE,,EVANS,1,BD111HA,1990-01-04,CHARLIE,,,,EVANS,,,CHA,C,,,,,,,EVA,E,,,CE,4,1,1990,BD,BD11,36,1,EXACT
BD111HA_47,,CAMERON,EVANS,1,BD111HA,1988-02-04,,,CAMERON,,EVANS,,,,,,,CAM,C,,,EVA,E,,,CE,4,2,1988,BD,BD11,38,BD111HA_47,,CAMERON,EVANS,1,BD111HA,1988-02-04,,,CAMERON,,EVANS,,,,,,,CAM,C,,,EVA,E,,,CE,4,2,1988,BD,BD11,38,1,EXACT
BD111HA_49,LYLA,HOLLIE,EVANS,2,BD111HA,1989-01-06,LYLA,,HOLLIE,,EVANS,,,LYL,L,,,HOL,H,,,EVA,E,,,LHE,6,1,1989,BD,BD11,37,BD111HA_49,LYLA,HOLLIE,EVANS,2,BD111HA,1989-01-06,LYLA,,HOLLIE,,EVANS,,,LYL,L,,,HOL,H,,,EVA,E,,,LHE,6,1,1989,BD,BD11,37,1,EXACT
BD111HA_5,THEA,ESME,CHAPMAN,2,BD111HA,1983-02-04,THEA,,ESME,,CHAPMAN,,,THE,T,,,ESM,E,,,CHA,C,,,TEC,4,2,1983,BD,BD11,43,BD111HA_5,THEA,ESME,CHAPMAN,2,BD111HA,1983-02-04,THEA,,ESME,,CHAPMAN,,,THE,T,,,ESM,E,,,CHA,C,,,TEC,4,2,1983,BD,BD11,43,1,EXACT
BD111HA_51,THEO,MUHAMMAD,JAMES,1,BD111HA,1989-02-01,THEO,,MUHAMMAD,,JAMES,,,THE,T,,,MUH,M,,,JAM,J,,,TMJ,1,2,1989,BD,BD11,37,BD111HA_51,THEO,MUHAMMAD,JAMES,1,BD111HA,1989-02-01,THEO,,MUHAMMAD,,JAMES,,,THE,T,,,MUH,M,,,JAM,J,,,TMJ,1,2,1989,BD,BD11,37,1,EXACT
BD111HA_59,HOLLIE,FLORENCE,WALLACE,2,BD111HA,1985-02-06,HOLLIE,,FLORENCE,,WALLACE,,,HOL,H,,,FLO,F,,,WAL,W,,,HFW,6,2,1985,BD,BD11,41,BD111HA_59,HOLLIE,FLORENCE,WALLACE,2,BD111HA,1985-02-06,HOLLIE,,FLORENCE,,WALLACE,,,HOL,H,,,FLO,F,,,WAL,W,,,HFW,6,2,1985,BD,BD11,41,1,EXACT
BD111HA_6,RILEY,,CHAPMAN,1,BD111HA,1986-03-08,RILEY,,,,CHAPMAN,,,RIL,R,,,,,,,CHA,C,,,RC,8,3,1986,BD,BD11,40,BD111HA_6,RILEY,,CHAPMAN,1,BD111HA,1986-03-08,RILEY,,,,CHAPMAN,,,RIL,R,,,,,,,CHA,C,,,RC,8,3,1986,BD,BD11,40,1,EXACT
BD111HA_61,CAMERON,HARRISON,HARRISON,1,BD111HA,1987-02-07,CAMERON,,HARRISON,,HARRISON,,,CAM,C,,,HAR,H,,,HAR,H,,,CHH,7,2,1987,BD,BD11,39,BD111HA_61,CAMERON,HARRISON,HARRISON,1,BD111HA,1987-02-07,CAMERON,,HARRISON,,HARRISON,,,CAM,C,,,HAR,H,,,HAR,H,,,CHH,7,2,1987,BD,BD11,39,1,EXACT
BD111HA_64,,CHARLIE,JAMES,1,BD111HA,1986-01-05,,,CHARLIE,,JAMES,,,,,,,CHA,C,,,JAM,J,,,CJ,5,1,1986,BD,BD11,40,BD111HA_64,,CHARLIE,JAMES,1,BD111HA,1986-01-05,,,CHARLIE,,JAMES,,,,,,,CHA,C,,,JAM,J,,,CJ,5,1,1986,BD,BD11,40,1,EXACT
BD111HA_68,DAISY,HOLLIE,WALLACE,2,BD111HA,1989-01-08,DAISY,,HOLLIE,,WALLACE,,,DAI,D,,,HOL,H,,,WAL,W,,,DHW,8,1,1989,BD,BD11,37,BD111HA_68,DAISY,HOLLIE,WALLACE,2,BD111HA,1989-01-08,DAISY,,HOLLIE,,WALLACE,,,DAI,D,,,HOL,H,,,WAL,W,,,DHW,8,1,1989,BD,BD11,37,1,EXACT
BD111HA_71,THEA,FLORENCE,WALLACE,2,BD111HA,1991-02-02,THEA,,FLORENCE,,WALLACE,,,THE,T,,,FLO,F,,,WAL,W,,,TFW,2,2,1991,BD,BD11,35,BD111HA_71,THEA,FLORENCE,WALLACE,2,BD111HA,1991-02-02,THEA,,FLORENCE,,WALLACE,,,THE,T,,,FLO,F,,,WAL,W,,,TFW,2,2,1991,BD,BD11,35,1,EXACT
BD111HA_72,LENA,DAISY,JAMES,2,BD111HA,1985-01-01,LENA,,DAISY,,JAMES,,,LEN,L,,,DAI,D,,,JAM,J,,,LDJ,1,1,1985,BD,BD11,41,BD111HA_72,LENA,DAISY,JAMES,2,BD111HA,1985-01-01,LENA,,DAISY,,JAMES,,,LEN,L,,,DAI,D,,,JAM,J,,,LDJ,1,1,1985,BD,BD11,41,1,EXACT
BD111HA_73,LYLA,HOLLIE,,2,BD111HA,1984-01-01,LYLA,,HOLLIE,,,,,LYL,L,,,HOL,H,,,,,,,LH,1,1,1984,BD,BD11,42,BD111HA_73,LYLA,HOLLIE,,2,BD111HA,1984-01-01,LYLA,,HOLLIE,,,,,LYL,L,,,HOL,H,,,,,,,LH,1,1,1984,BD,BD11,42,1,EXACT
BD111HA_8,DAISY,,,2,BD111HA,1984-01-04,DAISY,,,,,,,DAI,D,,,,,,,,,,,D,4,1,1984,BD,BD11,42,BD111HA_8,DAISY,,,2,BD111HA,1984-01-04,DAISY,,,,,,,DAI,D,,,,,,,,,,,D,4,1,1984,BD,BD11,42,1,EXACT
BD111HA_80,DAISY,LUCIE,ROBINSON,2,BD111HA,1988-01-07,DAISY,,LUCIE,,ROBINSON,,,DAI,D,,,LUC,L,,,ROB,R,,,DLR,7,1,1988,BD,BD11,38,BD111HA_80,DAISY,LUCIE,ROBINSON,2,BD111HA,1988-01-07,DAISY,,LUCIE,,ROBINSON,,,DAI,D,,,LUC,L,,,ROB,R,,,DLR,7,1,1988,BD,BD11,38,1,EXACT
BD111HA_81,,GEORGE,ROBINSON,1,BD111HA,1990-02-04,,,GEORGE,,ROBINSON,,,,,,,GEO,G,,,ROB,R,,,GR,4,2,1990,BD,BD11,36,BD111HA_81,,GEORGE,ROBINSON,1,BD111HA,1990-02-04,,,GEORGE,,ROBINSON,,,,,,,GEO,G,,,ROB,R,,,GR,4,2,1990,BD,BD11,36,1,EXACT
BD111HA_82,THEA,,MURRAY,2,BD111HA,1986-03-03,THEA,,,,MURRAY,,,THE,T,,,,,,,MUR,M,,,TM,3,3,1986,BD,BD11,40,BD111HA_82,THEA,,MURRAY,2,BD111HA,1986-03-03,THEA,,,,MURRAY,,,THE,T,,,,,,,MUR,M,,,TM,3,3,1986,BD,BD11,40,1,EXACT
BD111HA_85,MUHAMMAD,,HARRISON,1,BD111HA,1989-01-03,MUHAMMAD,,,,HARRISON,,,MUH,M,,,,,,,HAR,H,,,MH,3,1,1989,BD,BD11,37,BD111HA_85,MUHAMMAD,,HARRISON,1,BD111HA,1989-01-03,MUHAMMAD,,,,HARRISON,,,MUH,M,,,,,,,HAR,H,,,MH,3,1,1989,BD,BD11,37,1,EXACT
BD111HA_9,ESME,HOPE,COLLINS,2,BD111HA,1992-03-01,ESME,,HOPE,,COLLINS,,,ESM,E,,,HOP,H,,,COL,C,,,EHC,1,3,1992,BD,BD11,34,BD111HA_9,ESME,HOPE,COLLINS,2,BD111HA,1992-03-01,ESME,,HOPE,,COLLINS,,,ESM,E,,,HOP,H,,,COL,C,,,EHC,1,3,1992,BD,BD11,34,1,EXACT
BD111HA_91,,LUCAS,EVANS,1,BD111HA,1987-02-04,,,LUCAS,,EVANS,,,,,,,LUC,L,,,EVA,E,,,LE,4,2,1987,BD,BD11,39,BD111HA_91,,LUCAS,EVANS,1,BD111HA,1987-02-04,,,LUCAS,,EVANS,,,,,,,LUC,L,,,EVA,E,,,LE,4,2,1987,BD,BD11,39,1,EXACT
BD111HA_92,DAISY,HOLLIE,HOPKINS,2,BD111HA,1984-01-07,DAISY,,HOLLIE,,HOPKINS,,,DAI,D,,,HOL,H,,,HOP,H,,,DHH,7,1,1984,BD,BD11,42,BD111HA_92,DAISY,HOLLIE,HOPKINS,2,BD111HA,1984-01-07,DAISY,,HOLLIE,,HOPKINS,,,DAI,D,,,HOL,H,,,HOP,H,,,DHH,7,1,1984,BD,BD11,42,1,EXACT
BD111HA_93,THEA,,HARRISON,2,BD111HA,1993-03-08,THEA,,,,HARRISON,,,THE,T,,,,,,,HAR,H,,,TH,8,3,1993,BD,BD11,33,BD111HA_93,THEA,,HARRISON,2,BD111HA,1993-03-08,THEA,,,,HARRISON,,,THE,T,,,,,,,HAR,H,,,TH,8,3,1993,BD,BD11,33,1,EXACT
BD111HA_95,,CAMERON,JAMES,1,BD111HA,1987-01-04,,,CAMERON,,JAMES,,,,,,,CAM,C,,,JAM,J,,,CJ,4,1,1987,BD,BD11,39,BD111HA_95,,CAMERON,JAMES,1,BD111HA,1987-01-04,,,CAMERON,,JAMES,,,,,,,CAM,C,,,JAM,J,,,CJ,4,1,1987,BD,BD11,39,1,EXACT
BD208NZ_103,DYLAN,,WALLACE,1,BD208NZ,1985-03-03,DYLAN,,,,WALLACE,,,DYL,D,,,,,,,WAL,W,,,DW,3,3,1985,BD,BD20,41,BD208NZ_103,DYLAN,,WALLACE,1,BD208NZ,1985-03-03,DYLAN,,,,WALLACE,,,DYL,D,,,,,,,WAL,W,,,DW,3,3,1985,BD,BD20,41,1,EXACT
BD208NZ_107,LUCIE,HOLLIE,JAMES,2,BD208NZ,1984-01-02,LUCIE,,HOLLIE,,JAMES,,,LUC,L,,,HOL,H,,,JAM,J,,,LHJ,2,1,1984,BD,BD20,42,BD208NZ_107,LUCIE,HOLLIE,JAMES,2,BD208NZ,1984-01-02,LUCIE,,HOLLIE,,JAMES,,,LUC,L,,,HOL,H,,,JAM,J,,,LHJ,2,1,1984,BD,BD20,42,1,EXACT
BD208NZ_110,THEO,MUHAMMAD,EVANS,1,BD208NZ,1985-01-03,THEO,,MUHAMMAD,,EVANS,,,THE,T,,,MUH,M,,,EVA,E,,,TME,3,1,1985,BD,BD20,41,BD208NZ_110,THEO,MUHAMMAD,EVANS,1,BD208NZ,1985-01-03,THEO,,MUHAMMAD,,EVANS,,,THE,T,,,MUH,M,,,EVA,E,,,TME,3,1,1985,BD,BD20,41,1,EXACT
BD208NZ_112,DAISY,,HARRISON,2,BD208NZ,1993-01-08,DAISY,,,,HARRISON,,,DAI,D,,,,,,,HAR,H,,,DH,8,1,1993,BD,BD20,33,BD208NZ_112,DAISY,,HARRISON,2,BD208NZ,1993-01-08,DAISY,,,,HARRISON,,,DAI,D,,,,,,,HAR,H,,,DH,8,1,1993,BD,BD20,33,1,EXACT
BD208NZ_114,MUHAMMAD,CAMERON,EVANS,1,BD208NZ,1983-01-06,MUHAMMAD,,CAMERON,,EVANS,,,MUH,M,,,CAM,C,,,EVA,E,,,MCE,6,1,1983,BD,BD20,43,BD208NZ_114,MUHAMMAD,CAMERON,EVANS,1,BD208NZ,1983-01-06,MUHAMMAD,,CAMERON,,EVANS,,,MUH,M,,,CAM,C,,,EVA,E,,,MCE,6,1,1983,BD,BD20,43,1,EXACT
BD208NZ_119,FLORENCE,LYLA,EVANS,2,BD208NZ,1985-03-04,FLORENCE,,LYLA,,EVANS,,,FLO,F,,,LYL,L,,,EVA,E,,,FLE,4,3,1985,BD,BD20,41,BD208NZ_119,FLORENCE,LYLA,EVANS,2,BD208NZ,1985-03-04,FLORENCE,,LYLA,,EVANS,,,FLO,F,,,LYL,L,,,EVA,E,,,FLE,4,3,1985,BD,BD20,41,1,EXACT
BD208NZ_120,ESME,FLORENCE,HARRISON,2,BD208NZ,1989-02-01,ESME,,FLORENCE,,HARRISON,,,ESM,E,,,FLO,F,,,HAR,H,,,EFH,1,2,1989,BD,BD20,37,BD208NZ_120,ESME,FLORENCE,HARRISON,2,BD208NZ,1989-02-01,ESME,,FLORENCE,,HARRISON,,,ESM,E,,,FLO,F,,,HAR,H,,,EFH,1,2,1989,BD,BD20,37,1,EXACT
BD208NZ_125,HARRISON,MUHAMMAD,HARRISON,1,BD208NZ,1991-01-02,HARRISON,,MUHAMMAD,,HARRISON,,,HAR,H,,,MUH,M,,,HAR,H,,,HMH,2,1,1991,BD,BD20,35,BD208NZ_125,HARRISON,MUHAMMAD,HARRISON,1,BD208NZ,1991-01-02,HARRISON,,MUHAMMAD,,HARRISON,,,HAR,H,,,MUH,M,,,HAR,H,,,HMH,2,1,1991,BD,BD20,35,1,EXACT
BD208NZ_13,,HOLLIE,HOPKINS,2,BD208NZ,1990-01-04,,,HOLLIE,,HOPKINS,,,,,,,HOL,H,,,HOP,H,,,HH,4,1,1990,BD,BD20,36,BD208NZ_13,,HOLLIE,HOPKINS,2,BD208NZ,1990-01-04,,,HOLLIE,,HOPKINS,,,,,,,HOL,H,,,HOP,H,,,HH,4,1,1990,BD,BD20,36,1,EXACT
BD208NZ_134,MUHAMMAD,,JAMES,1,BD208NZ,1992-03-08,MUHAMMAD,,,,JAMES,,,MUH,M,,,,,,,JAM,J,,,MJ,8,3,1992,BD,BD20,34,BD208NZ_134,MUHAMMAD,,JAMES,1,BD208NZ,1992-03-08,MUHAMMAD,,,,JAMES,,,MUH,M,,,,,,,JAM,J,,,MJ,8,3,1992,BD,BD20,34,1,EXACT
BD208NZ_135,,THEA,,2,BD208NZ,1986-01-04,,,THEA,,,,,,,,,THE,T,,,,,,,T,4,1,1986,BD,BD20,40,BD208NZ_135,,THEA,,2,BD208NZ,1986-01-04,,,THEA,,,,,,,,,THE,T,,,,,,,T,4,1,1986,BD,BD20,40,1,EXACT
BD208NZ_17,,RILEY,WALLACE,1,BD208NZ,1992-01-06,,,RILEY,,WALLACE,,,,,,,RIL,R,,,WAL,W,,,RW,6,1,1992,BD,BD20,34,BD208NZ_17,,RILEY,WALLACE,1,BD208NZ,1992-01-06,,,RILEY,,WALLACE,,,,,,,RIL,R,,,WAL,W,,,RW,6,1,1992,BD,BD20,34,1,EXACT
BD208NZ_18,ESME,,COLLINS,2,BD208NZ,1985-01-01,ESME,,,,COLLINS,,,ESM,E,,,,,,,COL,C,,,EC,1,1,1985,BD,BD20,41,BD208NZ_18,ESME,,COLLINS,2,BD208NZ,1985-01-01,ESME,,,,COLLINS,,,ESM,E,,,,,,,COL,C,,,EC,1,1,1985,BD,BD20,41,1,EXACT
BD208NZ_19,,MUHAMMAD,COLLINS,1,BD208NZ,1988-01-07,,,MUHAMMAD,,COLLINS,,,,,,,MUH,M,,,COL,C,,,MC,7,1,1988,BD,BD20,38,BD208NZ_19,,MUHAMMAD,COLLINS,1,BD208NZ,1988-01-07,,,MUHAMMAD,,COLLINS,,,,,,,MUH,M,,,COL,C,,,MC,7,1,1988,BD,BD20,38,1,EXACT
BD208NZ_2,FLORENCE,,EVANS,2,BD208NZ,1985-01-01,FLORENCE,,,,EVANS,,,FLO,F,,,,,,,EVA,E,,,FE,1,1,1985,BD,BD20,41,BD208NZ_2,FLORENCE,,EVANS,2,BD208NZ,1985-01-01,FLORENCE,,,,EVANS,,,FLO,F,,,,,,,EVA,E,,,FE,1,1,1985,BD,BD20,41,1,EXACT
BD208NZ_20,CHARLIE,MUHAMMAD,WALLACE,1,BD208NZ,1990-03-08,CHARLIE,,MUHAMMAD,,WALLACE,,,CHA,C,,,MUH,M,,,WAL,W,,,CMW,8,3,1990,BD,BD20,36,BD208NZ_20,CHARLIE,MUHAMMAD,WALLACE,1,BD208NZ,1990-03-08,CHARLIE,,MUHAMMAD,,WALLACE,,,CHA,C,,,MUH,M,,,WAL,W,,,CMW,8,3,1990,BD,BD20,36,1,EXACT
BD208NZ_21,,CALLUM,HARRISON,1,BD208NZ,1984-01-01,,,CALLUM,,HARRISON,,,,,,,CAL,C,,,HAR,H,,,CH,1,1,1984,BD,BD20,42,BD208NZ_21,,CALLUM,HARRISON,1,BD208NZ,1984-01-01,,,CALLUM,,HARRISON,,,,,,,CAL,C,,,HAR,H,,,CH,1,1,1984,BD,BD20,42,1,EXACT
BD208NZ_22,DAISY,LENA,,2,BD208NZ,1988-03-05,DAISY,,LENA,,,,,DAI,D,,,LEN,L,,,,,,,DL,5,3,1988,BD,BD20,38,BD208NZ_22,DAISY,LENA,,2,BD208NZ,1988-03-05,DAISY,,LENA,,,,,DAI,D,,,LEN,L,,,,,,,DL,5,3,1988,BD,BD20,38,1,EXACT
